date,IBIT,total_dv
2025-02-12,1899997226.74408,2504373417.09137
2025-02-13,1325321128.6376953,1759087142.3851013
2025-02-14,1521873832.3638916,2157582788.8046265
2025-02-18,2043573590.8985136,2768946538.463211
2025-02-19,1588243809.3452454,2020360801.4623642
2025-02-20,1446667019.6342468,1892047744.9726105
2025-02-21,2619897223.031616,3810872690.166664
2025-02-24,2035540550.1846316,2835203764.82296
2025-02-25,5194874929.248047,7708768976.613426
2025-02-26,4112536349.494171,5581135856.602097
2025-02-27,2052456708.85849,2928009487.8908157
2025-02-28,2857153661.016083,3894797381.830406
2025-03-03,4512203630.799103,5698250913.213921
2025-03-04,3573865294.8349,4565865024.470139
2025-03-05,2523167940.6391144,3278383114.9068832
2025-03-06,2545925969.314575,3239299245.6041336
2025-03-07,2933724891.1125183,3888383182.408142
2025-03-10,3829870894.987488,4939497172.135162
2025-03-11,2294102029.5108795,3098243228.698349
2025-03-12,1518050879.1275024,2003006029.0843964
2025-03-13,1951460627.624512,2463628124.6484756
2025-03-14,2107097401.28479,2781071481.31485
2025-03-17,1393658337.8231049,1852532522.892189
2025-03-18,1574945901.2050629,2100661501.8817902
2025-03-19,1983910232.910156,2517920549.7192383
2025-03-20,1459860388.446808,1790784657.9214098
2025-03-21,865349563.8408661,1113502854.6369553
2025-03-24,1497035003.1044006,1943092761.987877
2025-03-25,1095373468.666077,1351971070.7895281
2025-03-26,1413521732.7713013,1828342888.1368637
2025-03-27,1631717714.675903,2000057354.096031
2025-03-28,1795361515.840912,2183390424.690819
2025-03-31,1123945580.973816,1559775195.480919
2025-04-01,1455747487.0052338,2064365838.590622
2025-04-02,1909928721.1017609,2473885155.2639008
2025-04-03,1894281307.58667,2542169577.5989532
2025-04-04,3276188385.131836,4415990207.71637
2025-04-07,4762659616.247177,6490643329.554558
2025-04-08,2181823354.6375275,2903426866.6513443
2025-04-09,4004335113.569641,5384857662.931061
2025-04-10,2066333185.2371216,2921183505.0834656
2025-04-11,2584834145.713806,3459468283.1136703
2025-04-14,1569795192.3095703,2129587356.6423416
2025-04-15,1145841198.2860565,1564762158.2141876
2025-04-16,1317125454.8568726,1800097219.674492
2025-04-17,1156483295.777893,1530966459.1516495
2025-04-21,2840349537.7349854,3647151751.17054
2025-04-22,4361080401.329041,5523091987.72068
2025-04-23,3243098646.5091705,4020946471.0321426
2025-04-24,1516663668.2029724,2010667099.6484756
2025-04-25,2617496392.0784,3254902192.4844747
2025-04-28,1840389972.4838257,2387670955.1006317
2025-04-29,1692423118.103027,1984763758.5939405
2025-04-30,1829485438.613892,2331086152.396775
2025-05-01,2901502910.285187,3469815747.2114563
2025-05-02,2397950250.3318787,2853137365.2233124
2025-05-05,1338481477.6576996,1798485171.614647
2025-05-06,1110632464.1204834,1445362455.124855
2025-05-07,1620026241.041565,2036606847.1727371
2025-05-08,3194971320.7740784,3844023749.266815
2025-05-09,2141307036.4299772,2608599980.324936
2025-05-12,2567012775.3715515,3326577782.7114105
2025-05-13,2284161399.078369,2915719913.2530212
2025-05-14,2261454820.6199646,2688784280.2757263
2025-05-15,1969188084.542847,2556093925.651169
2025-05-16,2211333148.498535,2670334798.5343933
2025-05-19,3036999833.972549,3619348531.1155314
2025-05-20,3031557693.405533,3598133545.4502106
2025-05-21,6104969491.455841,7592497495.121384
2025-05-22,4207924854.536057,5298225447.022247
2025-05-23,3831691775.4730234,4692991246.423341
2025-05-27,3096162500.0,3854463176.0543823
2025-05-28,2689465141.504669,3433688758.3400726
2025-05-29,4208886519.760895,5243189582.295036
2025-05-30,2716132758.178711,3327253051.8795013
2025-06-02,1824340578.75824,2312473357.507515
2025-06-03,2257848697.039795,2834645725.9449005
2025-06-04,1930266472.2457888,2356361531.6864014
2025-06-05,3356170588.054657,4311337515.517235
2025-06-06,2043142518.1304927,2629301206.3983912
2025-06-09,2714810051.1188507,3384521707.419586
2025-06-10,2048985977.115631,2607666062.646675
2025-06-11,1876033900.629044,2369335749.4043355
2025-06-12,2228515548.010254,2794699139.5195007
2025-06-13,2516714842.710113,3097101597.6455684
2025-06-16,2621259327.6397705,3114608757.2574615
2025-06-17,3207091650.0,3918970502.978325
2025-06-18,2368612657.03125,2893141358.465004
2025-06-20,2068809741.433716,2658816996.556282
2025-06-23,3740048107.275391,4439285490.361023
2025-06-24,2425655287.463379,2968064728.56102
2025-06-25,2500785999.774933,3138735143.152046
2025-06-26,1799631426.034546,2161140087.68692
2025-06-27,2163933331.503296,2661856629.1160583
2025-06-30,2091790508.7127688,2619075244.9691772
2025-07-01,2128837925.4283905,2720184390.436554
2025-07-02,4113490363.33313,5160362161.139679
2025-07-03,2031274611.1450195,2467248189.847183
2025-07-07,2320514817.668152,2828827000.1960754
2025-07-08,1821928121.006012,2247767547.862625
2025-07-09,3622432456.323242,4345192690.6599045
2025-07-10,5427346050.0,6224953511.388397
2025-07-11,5244523927.559662,6543003964.707947
2025-07-14,4662939308.87146,5834045263.3003235
2025-07-15,5430373404.58374,6544188196.572876
2025-07-16,3971277032.2036734,4992844617.323302
2025-07-17,3065241864.138031,3701287800.6858826
2025-07-18,3401373487.5671387,4468950023.900986
2025-07-21,3122869550.2075195,3968749167.3934937
2025-07-22,3077936084.149933,3922516762.015915
2025-07-23,2346987754.932404,3068177191.5363317
2025-07-24,2249688355.7647705,2987997361.1995697
2025-07-25,3583154684.95636,4401949083.106613
2025-07-28,2599990740.875244,3274408131.184387
2025-07-29,2562150947.8370667,3321726946.0338593
2025-07-30,2714738859.3437195,3467645151.745224
2025-07-31,2749832779.346466,3478640280.8799744
2025-08-01,4484463419.241333,5930980007.517052
2025-08-04,1955034948.492432,2462866205.665589
2025-08-05,2022203130.6045527,2629631053.075027
2025-08-06,1760037574.3934631,2356302317.415619
2025-08-07,2764349512.739563,3507433482.178116
2025-08-08,1925798102.015686,2548961529.300308
2025-08-11,2919240913.658142,3573425231.772232
2025-08-12,2273559332.89032,2979431682.371521
2025-08-13,3828949863.2263184,4942610750.657654
2025-08-14,4772509101.086426,6078213822.528839
2025-08-15,2630034140.6433105,3217987448.964691
2025-08-18,2240317028.5110474,2745536850.220871
2025-08-19,3630342616.07666,4652874650.952339
2025-08-20,2647842182.2540283,3410384110.0090027
2025-08-21,2177376352.0511627,2798522695.516968
2025-08-22,4421472000.0,5715811859.301758
2025-08-25,3512690651.6685486,4407341917.669106
2025-08-26,2616712766.72287,3394958180.9158325
2025-08-27,2151420971.575928,2765091154.2488103
2025-08-28,1964355020.5718997,2474796118.458557
2025-08-29,3234631607.700348,4220764491.3700104
2025-09-02,2925422534.7106934,3861628310.4818344
2025-09-03,2182088252.663803,2734647954.6619415
2025-09-04,2043857889.981079,2636537575.161934
2025-09-05,3039200468.2525635,3800833626.8972397
2025-09-08,2365168288.3277893,2967750628.01857
2025-09-09,2285112232.1228027,2976824964.5528793
2025-09-10,2915658934.8449707,3822397410.973358
2025-09-11,2253822703.692627,2801442209.4409943
2025-09-12,3222821884.650421,3864597481.81839
2025-09-15,2228205200.0,2984005807.355118
2025-09-16,2251310315.1657104,2924522279.7668457
2025-09-17,3040107194.233704,4152344732.547379
2025-09-18,2568620100.0,3396570240.6074524
2025-09-19,2156517168.6080933,2868934499.692917
2025-09-22,2705386029.8561096,3365112576.6008377
2025-09-23,2545594443.874359,3106860806.2454224
2025-09-24,1995576935.2783203,2543334295.2964783
2025-09-25,3963060442.622376,5280197301.145935
2025-09-26,3024282372.947693,3854904933.2479477
2025-09-29,3320116493.3807373,4524766026.358414
2025-09-30,2476493500.0,3225800481.703949
2025-10-01,3856457318.561554,4962914380.702591
2025-10-02,4281083585.0234985,5546333711.119461
2025-10-03,5811270417.767334,7457161006.768799
2025-10-06,4903140908.96759,6412855444.115067
2025-10-07,5646552001.65863,7610452784.923935
2025-10-08,3800446603.564453,5077150252.555847
2025-10-09,3832777304.888916,5218000276.610565
2025-10-10,6947636719.720459,9461402320.075607
2025-10-13,4730251518.518066,6515950544.445038
2025-10-14,4838651652.44751,6845968365.1304245
2025-10-15,3131279956.236267,4459807981.900215
2025-10-16,5472221285.185242,7848977943.511772
2025-10-17,5687524105.813599,8074531174.401855
2025-10-20,3257898701.799011,4778654049.69368
2025-10-21,5206884876.652908,7235986480.927658
2025-10-22,4434731764.669037,6443264523.546219
2025-10-23,2601951785.1169586,3633266554.9362183
2025-10-24,2512000020.2072144,3277596277.5115967
2025-10-27,3218173379.8217773,4021463561.188507
2025-10-28,3070355900.2944946,4074424832.3856354
2025-10-29,4828261100.0,6891346049.172592
2025-10-30,3464278327.5177,4974923681.794167
2025-10-31,2946833573.91243,4158398604.1872025
2025-11-03,3136688748.742676,4577133935.022163
2025-11-04,6022083272.140503,8680208298.12622
2025-11-05,3033625729.724121,3999437974.4918823
2025-11-06,3142211119.8921204,4644072126.6506195
2025-11-07,3769633092.383194,5032526768.757248
2025-11-10,3071898902.9117584,4083926047.49794
2025-11-11,1983538178.1295776,2678942961.036873
2025-11-12,2398992082.356262,3554982467.1081543
2025-11-13,4351462913.944244,6300970210.8181
2025-11-14,5038259278.7361145,6694966845.790672
2025-11-17,4795591249.549103,7420681696.901321
2025-11-18,3982623128.4599295,5757035325.876235
2025-11-19,4806393514.629364,6739484599.14093
2025-11-20,5995763887.882233,8646364774.456978
2025-11-21,8069201800.338745,10811684369.188118
2025-11-24,4185127661.743927,5434147772.717285
2025-11-25,3224016857.336426,4551095969.523811
2025-11-26,3393862334.814453,4527365363.764
2025-11-28,2440098593.886566,3301647906.848526
2025-12-01,4327756850.0,5840677177.086639
2025-12-02,3759385058.776856,5177293669.9092865
2025-12-03,3014180753.927231,4165907885.6197357
2025-12-04,2130419898.901749,3059097737.721443
2025-12-05,2817274088.6745453,3968251096.503067
2025-12-08,2221635155.739593,3067729000.546264
2025-12-09,2954626729.6943665,4149833693.37101
2025-12-10,2950830424.358368,3920012021.0762024
2025-12-11,2624412383.137512,3702037231.5317154
2025-12-12,2424637476.1299133,3441329889.2555237
2025-12-15,3558530118.8411717,5093586173.280907
2025-12-16,2787473285.662079,4077920505.2453995
2025-12-17,3848713415.661621,5625549858.099747
2025-12-18,3430799350.5081177,4893784047.938347
2025-12-19,3131313462.426758,4252600407.023239
2025-12-22,2505456726.632309,3536626198.6211777
2025-12-23,2172564906.768799,3066724719.6382523
2025-12-24,1125674957.1632383,1525848903.647804
2025-12-26,1901705114.3966677,2871048430.611038
2025-12-29,1593458068.467331,2199528410.575485
2025-12-30,2196097874.697876,3436377347.0355988
2025-12-31,1679873046.627045,2706529855.496216
2026-01-02,3360450581.40564,5203914973.097038
2026-01-05,4092223933.918762,5750004545.980835
2026-01-06,2879893171.8910217,4182548594.2825317
2026-01-07,2286675220.6192017,3212185102.127075
2026-01-08,2204401715.586472,3028063609.872437
2026-01-09,2030458537.9440308,2868886630.795479
2026-01-12,2112618373.496628,3010041774.4297028
2026-01-13,3519372198.9509583,4689719927.255058
2026-01-14,4761808010.046387,6146428796.066856
2026-01-15,2728134000.0,3808376216.038513
2026-01-16,2348174424.664688,3505726084.7682953
2026-01-20,3882180507.629013,5081150958.256149
2026-01-21,3584231900.8026123,5342160933.089256
2026-01-22,2487942513.093567,3236237925.823021
2026-01-23,2434948656.641388,3229695750.5182266
2026-01-26,2183264482.0976257,3106770811.887169
2026-01-27,2624694696.3718414,3474140503.2045364
2026-01-28,2168464941.9410706,3179054124.6816635
2026-01-29,5423743746.134949,7248838087.325478
2026-01-30,3435716410.4305267,5117792498.037338
2026-02-02,4710672712.039185,7336250102.01683
2026-02-03,5448083844.005585,8350172485.252953
2026-02-04,4611472305.146027,6875692595.49942
2026-02-05,10265810716.083529,13594019706.267168
2026-02-06,6483085105.860901,7889830260.584831
2026-02-09,3109571918.3181763,4404225556.373596
2026-02-10,2396865513.079834,3234311784.5329285
2026-02-11,2722564567.097473,3730258729.906845
2026-02-12,2316065847.307205,3382732228.90625
2026-02-13,2554604387.020874,3588616230.6287766
2026-02-17,2106946819.5022583,2980923872.129631
2026-02-18,1880427447.8599548,2618639352.846527
2026-02-19,1697461339.3928528,2270995627.2016525
2026-02-20,2389804568.104553,3499557647.0035553
2026-02-23,2263735167.747116,3157498134.235573
2026-02-24,1719273433.5479736,2349551224.9629974
2026-02-25,3135304716.415024,4016530157.6820374
2026-02-26,1987266398.8185885,3001218927.1554947
2026-02-27,1807352115.261078,2384736654.540634
2026-03-02,3969794993.09082,5551539442.345047
2026-03-03,2734832303.915024,3848745055.988884
2026-03-04,4785636081.407547,6192291747.896576
2026-03-05,2480034820.523072,3500993732.597161
2026-03-06,2208703492.688751,2934687802.8844833
2026-03-09,2880496333.627701,3791149299.5269775
2026-03-10,2500359947.353363,3420190177.748871
2026-03-11,1863234950.8094788,2618708748.448372
2026-03-12,1696089267.3908234,2494573832.454872
2026-03-13,3354722689.240265,4695699804.04644
2026-03-16,2560701138.151932,3551275026.15757
2026-03-17,1744034856.8870544,2552482053.758049
2026-03-18,2577847692.527771,3318893480.8929443
2026-03-19,2340563834.062195,3135937245.647621
2026-03-20,2001608215.0390625,2593248194.789505
2026-03-23,1962766357.60994,2849748889.3381124
2026-03-24,2141266645.4559329,2905048963.2246017
2026-03-25,1678619866.4840698,2278486906.983185
2026-03-26,1694458048.6793518,2370376158.0518723
2026-03-27,2502976402.118683,3256006479.5301437
2026-03-30,1558177284.6199036,2270557875.1361847
2026-03-31,1981730399.5529172,2962321306.970978
2026-04-01,1325216739.0670776,2014327126.72081
2026-04-02,1301019309.8266602,1908085731.901741
2026-04-06,1597730386.5066528,2221200926.9784927
2026-04-07,1192628153.4576416,1709057457.2429657
2026-04-08,2448748581.0699463,2956282909.1737747
2026-04-09,1351294113.9598846,1885942868.9071655
2026-04-10,1446204927.7877808,1909974962.802887
2026-04-13,1787912516.5596008,2397173385.9106064
2026-04-14,2885475347.154999,3666874610.8430862
2026-04-15,1513488976.8360138,1962437706.8538666
2026-04-16,1589094498.9761353,2202788613.552475
2026-04-17,3530908439.645767,4623476187.221527
2026-04-20,1635753925.0,2123110953.2398224
2026-04-21,1313486681.1382294,1781089243.61763
2026-04-22,2300834675.0,2946145170.567131
2026-04-23,1769453229.3533323,2290940844.8949814
2026-04-24,1250634625.0053406,1755230989.361
